itc_pv,itc_bat,enable_sell,enforce_limit_flag,A_tot,offset_price,insolation_mult,
0.5,0.3,1,1,200,0,1,0
0.5,0.3,1,1,400,0,1,1
0.5,0.3,1,1,800,0,1,2
0.5,0.3,1,1,1000,0,1,3
0.5,0.3,1,1,2000,0,1,4
0.5,0.3,1,1,3000,0,1,5
0.5,0.3,1,1,4000,0,1,6
0.5,0.3,1,1,5000,0,1,7
0.5,0.3,1,1,6000,0,1,8
0.5,0.3,1,1,7000,0,1,9
0.5,0.4,1,1,200,0,1,10
0.5,0.4,1,1,400,0,1,11
0.5,0.4,1,1,800,0,1,12
0.5,0.4,1,1,1000,0,1,13
0.5,0.4,1,1,2000,0,1,14
0.5,0.4,1,1,3000,0,1,15
0.5,0.4,1,1,4000,0,1,16
0.5,0.4,1,1,5000,0,1,17
0.5,0.4,1,1,6000,0,1,18
0.5,0.4,1,1,7000,0,1,19
0.5,0.5,1,1,200,0,1,20
0.5,0.5,1,1,400,0,1,21
0.5,0.5,1,1,800,0,1,22
0.5,0.5,1,1,1000,0,1,23
0.5,0.5,1,1,2000,0,1,24
0.5,0.5,1,1,3000,0,1,25
0.5,0.5,1,1,4000,0,1,26
0.5,0.5,1,1,5000,0,1,27
0.5,0.5,1,1,6000,0,1,28
0.5,0.5,1,1,7000,0,1,29
